code_identifiant;format_administration;Code de la substance;denomination_de_la_substance;dosage_de_la_substance;réferent_dosage;Nature du composant;Numéro permettant de lier, le cas échéant, substances actives et fractions thérapeutiques
67939209;Comprimé;46333;AXITINIB;5 mg;un comprimé;Principe Actif;1
67941726;Comprimé;987;ACÉTATE DE CYPROTÉRONE;100 mg;un comprimé;Principe Actif;1
67951898;Poudre;93286;ACIDE CLAVULANIQUE;0,200 g;un flacon;Fraction Thérapeutique;2
62784356;Poudre;1014;ACÉTYLCYSTÉINE;200 mg;un sachet de 3 g;Principe Actif;1
62789360;Poudre;2952;SULFATE DE BLÉOMYCINE;;;Principe Actif;1
62794101;Collyre;200;MALÉATE DE TIMOLOL;2,744 mg;un récipient unidose;Principe Actif;1
62819298;Solution;16661;CHLORHYDRATE D'ARTICAÏNE;72 mg;une cartouche;Principe Actif;1
62823503;Solution;549;IODE;350 mg;100 ml;Fraction Thérapeutique;2
62824950;Solution d'acides aminés;6;ACIDE ASPARTIQUE;5,25 g;1000 ml de solution d'acides aminés;Principe Actif;11
62834599;Comprimé;15734;VALSARTAN;160 mg;un comprimé;Principe Actif;1
62897959;Comprimé;52431;PÉRINDOPRIL;1,669 mg;un comprimé;Fraction Thérapeutique;1
62904574;Solution;1796;ÉTAMSYLATE;250 mg;une ampoule;Principe Actif;1
62915154;Collyre;358;TROPICAMIDE;0,500 g;100 ml;Principe Actif;1
62916135;Poudre orale;2380;NITRICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;100 ml de solution injectable;Principe Actif;23
62920361;Comprimé;1328;MOLSIDOMINE;2 mg;un comprimé;Principe Actif;1
62929951;Poudre orale;2380;NITRICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;15
62936337;Granulés;1785;ÉRYTHROMYCINE BASE;250 mg;un sachet de 2,375 g;Fraction Thérapeutique;1
62940702;Poudre;78279;CASPOFUNGINE (ACÉTATE DE);77,7 mg;1 flacon;Principe Actif;1
62958038;Pommade;56283;BISMUTHUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH (pommade à 4 %);une gélule;Principe Actif;25
62969789;Comprimé;7436;BISOPROLOL (FUMARATE ACIDE DE);5 mg;un comprimé;Principe Actif;1
62973296;Poudre orale;13794;LYCOPODIUM CLAVATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;une gélule;Principe Actif;18
63045724;Comprimé;1351;CARBAMAZÉPINE;200,00 mg;un comprimé;Principe Actif;1
63058682;Pommade;54203;ALDOSTÉRONE POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH (pommade à 4 %);100 ml de solution pour perfusion;Principe Actif;24
63075856;Comprimé;2064;HYDROCHLOROTHIAZIDE;25 mg;un comprimé;Principe Actif;2
63076303;Comprimé;1958;FUROSÉMIDE;40 mg;un comprimé;Principe Actif;1
63076709;Comprimé;18055;CHLORHYDRATE DE MÉTOCLOPRAMIDE ANHYDRE;10 mg;un comprimé;Fraction Thérapeutique;1
63084015;Poudre;29442;POTASSIUM (CLAVULANATE DE);;;Principe Actif;2
63085836;Comprimé;3682;MALÉATE D'ÉNALAPRIL;5 mg;un comprimé;Principe Actif;1
60008845;Solution;529;GLUCOSE ANHYDRE;15 g;100 ml de solution pour perfusion;Fraction Thérapeutique;1
60037327;Solution;3437;SULFATE DE PROTAMINE;1 000 Unités Antihéparine;1 ml de solution injectable;Principe Actif;1
60073907;Comprimé;33803;CHLORHYDRATE DE DONÉPÉZIL;10 mg;un comprimé;Principe Actif;1
60077574;Comprimé;7436;BISOPROLOL (HÉMIFUMARATE DE);2,5 mg;un comprimé;Principe Actif;1
60110031;Solution;4401;EAU POUR PRÉPARATIONS INJECTABLES;100 ml;100 ml de solution pour préparation injectable;Principe Actif;1
60120812;Solution;73952;IRINOTÉCAN;17,33 mg;1 ml de solution;Fraction Thérapeutique;1
60187501;Gélule;3902;FÉNOFIBRATE;200 mg;une gélule;Principe Actif;1
60208447;Solution;20879;MAGNÉSIUM (LACTATE DE) DIHYDRATÉ;0,461 g;1000 ml;Principe Actif;24
60212627;Comprimé;79482;CHLORHYDRATE DE CIPROFLOXACINE;;;Principe Actif;1
60213704;Pommade;78950;IBERIS AMARA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 4 %);un comprimé;Principe Actif;24
60239802;Comprimé;27380;DÉSOGESTREL;150 microgrammes;un comprimé;Principe Actif;1
60243544;Poudre;5331;BENZYLPÉNICILLINE SODIQUE;1 000 000 UI;un flacon;Principe Actif;1
60244525;Solution;430;CHLORURE DE CALCIUM;0,2573 g;1000 ml de solution prête à l'emploi;Principe Actif;2
60268056;Granules;4593;BRYONIA POUR PRÉPARATIONS HOMÉOPATHIQUES;0,01 ml (8 DH);un tube de 7 g de granules;Principe Actif;3
60290800;Comprimé;1637;DIAZÉPAM;10 mg;un comprimé;Principe Actif;1
60311269;Comprimé;36192;VALACICLOVIR;500 mg;un comprimé;Fraction Thérapeutique;1
60311803;Crème;25715;ACICLOVIR;5 g;100 g de crème;Principe Actif;1
60318954;Comprimé;24044;ARUNDO DONAX POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;une gélule;Principe Actif;17
60347190;Comprimé;19809;ATORVASTATINE;80 mg;un comprimé;Fraction Thérapeutique;1
60356613;Gélule;3226;ACÉTATE DE FLÉCAÏNIDE;100 mg;une gélule;Principe Actif;1
60370011;Solution;563;LYSINE;0,44 g;100 ml;Principe Actif;7
60370011;Solution;658;THRÉONINE;0,32 g;100 ml;Principe Actif;10
60375058;Poudre;28165;AMOXICILLINE TRIHYDRATÉE;;;Principe Actif;1
60386574;Comprimé;24025;AGNUS CASTUS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;1 ml;Principe Actif;18
60406856;Comprimé;708;CHLORHEXIDINE (ACÉTATE DE);2 mg;un comprimé;Principe Actif;2
60406938;Comprimé;987;ACÉTATE DE CYPROTÉRONE;50 mg;un comprimé;Principe Actif;1
60415442;Bâton;1591;ALPROSTADIL;250 microgrammes;un bâton;Principe Actif;1
60434834;Comprimé;66038;BENZOATE DE RIZATRIPTAN;14,53 mg;un comprimé;Principe Actif;1
60447372;Compartiment 2 : solution d'acides aminés;544;HISTIDINE;1,63 g;400 ml;Principe Actif;6
60449163;Comprimé;15304;LISINOPRIL ANHYDRE;20 mg;un comprimé;Fraction Thérapeutique;1
60461105;Solution;17150;GLUCOSE MONOHYDRATÉ;;;Principe Actif;1
60477650;Solution;86571;CHLORHYDRATE DE TRAMADOL;100 mg;1 ml;Principe Actif;1
60482462;Comprimé;3682;MALÉATE D'ÉNALAPRIL;20 mg;un comprimé;Principe Actif;1
60487922;Comprimé;37011;LAMOTRIGINE;100,00 mg;un comprimé;Principe Actif;1
60488216;Comprimé;31416;IRBÉSARTAN;150 mg;un comprimé;Fraction Thérapeutique;1
60502559;Comprimé;70320;DONÉPÉZIL BASE;4,56 mg;un comprimé;Fraction Thérapeutique;1
60522572;Solution;97330;CLADRIBINE;10 mg;10 ml;Principe Actif;1
60537154;Solution;520;CITICOLINE;500,0 mg;une ampoule;Fraction Thérapeutique;1
60542920;Comprimé;11532;RAMIPRIL;1,25 mg;un comprimé;Principe Actif;1
60549391;Comprimé;54459;BUPRÉNORPHINE;0,200 mg;un comprimé;Fraction Thérapeutique;1
60550237;Solution buvable en gouttes;2143;THUYA OCCIDENTALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un flacon;Principe Actif;19
60561461;Comprimé;42537;ONDANSÉTRON;8 mg;un comprimé;Fraction Thérapeutique;1
60562855;Comprimé;54693;CLOPIDOGREL BASE;300 mg;un comprimé;Fraction Thérapeutique;1
60576634;Solution;98428;ANTIMOINE;0,4050 g;une ampoule de 5 ml;Fraction Thérapeutique;1
60585996;Gélule;94741;SAQUINAVIR (MÉSILATE DE);228,7 mg;une gélule;Principe Actif;13
60587591;Comprimé;25848;SULFUR POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;100 g de sirop;Principe Actif;18
60589592;Solution buvable en ampoules;764;CUPRUM ACETICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un sachet;Principe Actif;25
60616445;Émulsion;7603;PROPOFOL;10 mg;1ml;Principe Actif;1
60619306;Gélule;7111;MONONITRATE D'ISOSORBIDE;40 mg;une gélule;Principe Actif;1
60647323;Gel;2382;MÉTRONIDAZOLE;0,75 g;100 g;Principe Actif;1
60653625;Comprimé;15734;VALSARTAN;160 mg;un comprimé;Principe Actif;1
60656596;Sirop;1343;BENZOATE DE MÉGLUMINE;2,6 g;100 ml;Principe Actif;7
60658234;Gélule;55705;FLUVASTATINE SODIQUE;21,06 mg;une gélule;Principe Actif;1
60663142;Comprimé;7436;HÉMIFUMARATE DE BISOPROLOL;10 mg;un comprimé;Principe Actif;1
60681934;Gélule;7560;CHLORHYDRATE DE FLUOXÉTINE;22,36 mg;une gélule;Principe Actif;1
60693833;Granules;763;CUPRUM METALLICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;14
60702684;Poudre orale;12793;CLEMATIS VITALBA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;une dose mesurée;Principe Actif;23
60702983;Comprimé;7958;CHLORHYDRATE DE CÉLIPROLOL;;;Principe Actif;1
60703409;Poudre;1316;CEFTAZIDIME PENTAHYDRATÉE;;;Principe Actif;1
60705011;Comprimé;29205;CITRATE DE BÉTAÏNE ANHYDRE;1,89 g;un comprimé;Principe Actif;1
60711441;Comprimé;769;DIOSMINE;600 mg;un comprimé;Principe Actif;1
60719986;Comprimé jaune;8237;GESTODÈNE;0,06 mg;un comprimé;Principe Actif;1
60739234;Comprimé;7238;MISOPROSTOL;0,2 mg;un comprimé;Principe Actif;8
60742935;Collyre;2969;DIMÉTICONE;qsp un flacon;une gélule;Principe Actif;1
60765503;Lotion;14125;ESDÉPALLÉTHRINE;0,663 g;un flacon de 100 g;Principe Actif;1
62322104;Compartiment 1 : solution d'acides aminés;610;PHÉNYLALANINE;3,92 g;un compartiment n°1 de 1000 ml;Principe Actif;5
62322104;Compartiment 1 : solution d'acides aminés;675;VALINE;4,06 g;un compartiment n°1 de 1000 ml;Principe Actif;9
62334028;Crème;532;GLYCÉROL;15 g;100 g;Principe Actif;3
62356252;Gélule;37973;RIVASTIGMINE BASE;6 mg;une gélule;Fraction Thérapeutique;1
62414855;Comprimé;59737;RILUZOLE;50 mg;un comprimé;Principe Actif;1
62420114;Comprimé;71861;GLIMÉPIRIDE;4 mg;un comprimé;Principe Actif;1
62725176;Solution;20394;MINOXIDIL;2 g;100 ml de solution pour application cutanée;Principe Actif;1
62729908;Poudre orale;2729;CINNAMOMUM ZEYLANICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;100 ml;Principe Actif;23
62746359;Comprimé;66240;RILMÉNIDINE;1 mg;un comprimé;Fraction Thérapeutique;1
62766454;Comprimé;602;CHLORHYDRATE DE MIANSÉRINE;60 mg;un comprimé;Principe Actif;1
64701697;Gaz;44570;OXYGÈNE;qs (sous une pression de 10 à 15 bar, de -155 à -145°C);un comprimé;Principe Actif;1
64705311;Comprimé;71861;GLIMÉPIRIDE;4,00 mg;un comprimé;Principe Actif;1
64714100;Compartiment 2 : solution d'acides aminés;550;ISOLEUCINE;3 g;400 ml de solution d'acides aminés;Principe Actif;5
64714100;Compartiment 2 : solution d'acides aminés;79537;CHLORHYDRATE DE LYSINE;3,62 g;400 ml de solution d'acides aminés;Principe Actif;7
64720167;Suspension;3559;SULFATE DE SALBUTAMOL;120,50  microgrammes;une dose;Principe Actif;1
64726978;Granules;24745;ANACARDIUM ORIENTALE POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;100 ml de solution pour pulvérisation nasale;Principe Actif;17
64728826;Comprimé;38524;PANTOPRAZOLE;40,00 mg;un comprimé;Fraction Thérapeutique;1
64743130;Solution;3482;PROLINE;680 mg;un flacon;Principe Actif;14
64747367;Solution;549;IODE;350 mg;1 ml;Fraction Thérapeutique;1
64752147;Gélule;1;CHLORHYDRATE DE LOPÉRAMIDE;2,00 mg;une gélule;Principe Actif;1
64768991;Comprimé;90563;DICHLORHYDRATE DE SAPROPTÉRINE;100 mg;un comprimé;Principe Actif;1
64791997;Solution;5432;CHLORHYDRATE DE LIDOCAÏNE;6,163 g;100 ml de solution;Principe Actif;1
64800229;Pommade;8234;BOLDO POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);un sachet de 6 g;Principe Actif;25
64805297;Dispositif n°14 panel 2;4433;MÉTHYLE (PARAHYDROXYBENZOATE DE);0,160 mg;un dispositif;Principe Actif;77
64805297;Dispositif n°15 panel 2;41143;DIPHÉNYLGUANIDINE;0,068 mg;un dispositif;Principe Actif;86
64807483;Collyre;97986;LODOXAMIDE TROMÉTAMOL;0,712 mg;un récipient unidose de 0,4 ml;Principe Actif;1
64834605;Gel;234;HAMAMÉLIS DE VIRGINIE (EXTRAIT D') (FLUIDE);4,00 g;100 g de gel;Principe Actif;1
64835956;Suppositoire;73;BISACODYL;0,01 g;un suppositoire;Principe Actif;1
64875819;Compartiment des acides aminés;2666;MÉTHIONINE;0,55 g;392 ml de solution d'acides aminés;Principe Actif;11
64875819;Compartiment des acides aminés;80185;MAGNÉSIUM (ACÉTATE DE) TÉTRAHYDRATÉ;0,55 g;392 ml de solution d'acides aminés;Principe Actif;24
64886840;Solution;97992;IOBENGUANE (123I);74 Mq à la date et à l'heure de calibration;un flacon de 1 ml;Principe Actif;1
64942004;Poudre;28165;AMOXICILLINE TRIHYDRATÉE;;;Principe Actif;1
64942004;Poudre;93286;ACIDE CLAVULANIQUE;31,25 mg;un sachet-dose;Fraction Thérapeutique;2
64967356;Solution;25681;LACOSAMIDE;10 mg;1 ml;Principe Actif;1
64970434;Solution;585;CHLORHYDRATE DE MORPHINE;40 mg;1 ml de solution injectable;Principe Actif;1
64976412;Poudre;4179;DIPROPIONATE DE BÉCLOMÉTASONE ANHYDRE;100 microgrammes;une dose mesurée de 10 mg de poudre pour inhalation;Principe Actif;1
64983766;Comprimé;66038;BENZOATE DE RIZATRIPTAN;14,53 mg;un comprimé;Principe Actif;6
64984697;Poudre;99567;ROTAVIRUS HUMAIN (SOUCHE RIX4414) (VIVANT, ATTÉNUÉ);au moins 1 000 000 DICC50;une dose;Principe Actif;1
65004263;Gel;22364;DICLOFÉNAC DE DIÉTHYLAMINE;1,16 g;100 g de gel;Principe Actif;1
65010088;Gel;929;OXYDE DE ZINC;8 g;100 ml de gel pour application locale;Principe Actif;3
65032362;Collutoire;4009;CHOLINE (SALICYLATE DE);0,500 g;100 ml de solution;Principe Actif;2
65043177;Comprimé;78924;OXALATE D'ESCITALOPRAM;;;Principe Actif;1
65077051;Poudre;52977;ERTAPÉNEM SODIQUE;1,046 g;un flacon;Principe Actif;1
65084430;Pommade;2201;DEXPANTHÉNOL;5 g;100 g de pommade;Principe Actif;1
65084900;Gélule;93796;CHONDROÏTINE (SULFATE DE) SODIQUE;500 mg;une gélule;Principe Actif;1
65088998;Poudre;38167;TÉNECTÉPLASE;10000 unités;un flacon;Principe Actif;1
65094353;Comprimé;71153;TELMISARTAN;80 mg;un comprimé;Principe Actif;1
65094360;Granulés;25252;ACIDE VALPROÏQUE;217,75 mg;un sachet-dose;Principe Actif;2
65102309;Comprimé;25783;CHLORHYDRATE DE RANITIDINE;;;Principe Actif;1
65126502;Comprimé;2715;ALUMINA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;17
65142759;Solution buvable en gouttes;9146;CASCARA SAGRADA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;20
65144557;Comprimé;4921;SULFATE DE GLUCOSAMINE;500 mg;un comprimé;Principe Actif;1
65157330;Gélule;93748;BÉSILATE D'AMLODIPINE;;;Principe Actif;1
65164218;Pommade;3312;SULFATE DE FRAMYCÉTINE;315 000 UI;100 g de pommade ophtalmique;Principe Actif;1
65175168;Granules;82582;KALIUM MURIATICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un dispositif;Principe Actif;19
65185486;Liquide;152;NIAOULI (ESSENCE DE);qsp un flacon;une cuillère-mesure de 5 ml de suspension reconstituée;Principe Actif;1
65196707;Comprimé;93748;BÉSILATE D'AMLODIPINE;13,87 mg;un comprimé;Principe Actif;2
65224035;Comprimé;8237;GESTODÈNE;0,075 mg;un comprimé;Principe Actif;2
65228400;Solution;72525;INSULINE LISPRO RECOMBINANTE;100 UI;1 ml;Principe Actif;1
65235359;Comprimé;7436;HÉMIFUMARATE DE BISOPROLOL;10 mg;un comprimé;Principe Actif;1
65251121;Comprimé;1903;IPÉCA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;18
65254758;Comprimé;3902;FÉNOFIBRATE;160 mg;un comprimé;Principe Actif;1
65311860;Comprimé;2382;MÉTRONIDAZOLE;250 mg;un comprimé;Principe Actif;2
65456667;Comprimé;87471;ENTACAPONE;200 mg;un comprimé;Principe Actif;3
67722465;Solution;77898;IOVERSOL;63,6 g;100 ml;Principe Actif;1
67728176;Poudre;38050;GEMCITABINE;38 mg;1 ml de solution reconstituée;Principe Actif;1
67747931;Comprimé;17061;CEFPODOXIME;100,00 mg;un comprimé;Fraction Thérapeutique;1
67755020;Comprimé;2202;PARACÉTAMOL;1000 mg;un comprimé;Principe Actif;1
67780949;Comprimé;27380;DÉSOGESTREL;150 microgrammes;un comprimé;Principe Actif;1
67807816;Gélule;55512;HYDROGÉNOTARTRATE DE RIVASTIGMINE;;;Principe Actif;1
67816174;Comprimé;99915;ACIDE RISÉDRONIQUE;69,6 mg;un comprimé;Fraction Thérapeutique;1
67821659;Solution;1785;ÉRYTHROMYCINE;4 g;100 g;Principe Actif;1
67827968;Solution;17477;FENTANYL;0,500 mg;une ampoule;Fraction Thérapeutique;1
67831952;Comprimé;1023;ACIDE ASCORBIQUE;0,200 g;un comprimé;Principe Actif;6
67842151;Sirop;3229;DEXTROMÉTHORPHANE (BROMHYDRATE DE);0,3 g;100 ml;Principe Actif;1
67891013;Comprimé;2878;SULFAMÉTHOXAZOLE;800 mg;un comprimé;Principe Actif;4
67901945;Comprimé;20540;ACARBOSE;100 mg;un comprimé;Principe Actif;1
67908904;Comprimé;79482;CHLORHYDRATE DE CIPROFLOXACINE;;;Principe Actif;1
67917134;Solution;2345;MÉTHOTREXATE;50,0 mg;2 mL de solution injectable;Principe Actif;1
67919053;Poudre;30925;CEFTRIAXONE SODIQUE;1079,27 mg;un flacon de poudre;Principe Actif;1
67920130;Collyre;3778;CHLORHEXIDINE (GLUCONATE DE);0,08 mg;un récipient unidose;Principe Actif;6
67923265;Solution;23654;TOBRAMYCINE;25 mg;2,5 ml;Fraction Thérapeutique;2
67928230;Solution;4168;LEVURE;500 mg;100 ml;Principe Actif;2
67939789;Poche b;640;SORBITOL;1,5700 g;une poche de 3,18 g;Principe Actif;10
67948731;Comprimé;37011;LAMOTRIGINE;50 mg;un comprimé;Principe Actif;1
67949751;Comprimé;975;SPIRAMYCINE;1,5 M.U.I.;un comprimé;Principe Actif;1
67951019;Comprimé;63130;ACÉBUTOLOL BASE;200 mg;un comprimé;Fraction Thérapeutique;1
67972077;Solution;297;ACÉTATE DE LYSINE;4,50 g;1000 ml de solution pour perfusion;Principe Actif;3
67972077;Solution;550;ISOLEUCINE;4,10 g;1000 ml de solution pour perfusion;Principe Actif;1
67972077;Solution;3482;PROLINE;4,51 g;1000 ml de solution pour perfusion;Principe Actif;14
67974320;Comprimé;81234;LÉVOFLOXACINE;500 mg;un comprimé;Fraction Thérapeutique;1
67986283;Poudre;55647;ALBUMINE HUMAINE PLASMATIQUE (MACROAGRÉGATS D');2,0 mg;1 flacon;Principe Actif;1
68007058;Poudre orale;63203;INFLUENZINUM POUR PRÉPARATIONS HOMÉOPATHIQUES;4CH à 30CH et 8DH à 60DH;100 g;Principe Actif;24
68015521;Suspension;70734;VIRUS DE LA GRIPPE FRAGMENTÉ, INACTIVÉ, SOUCHE A/CALIFORNIA/7/2009 (H1N1) - SOUCHE DÉRIVÉE UTILISÉE (NYMC X-179A);15 microgrammes d'hémagglutinine;une dose de 0,5 ml;Principe Actif;2
68024470;Comprimé;83;PIRACÉTAM;800 mg;un comprimé;Principe Actif;1
68074594;Compartiment : solution d'acides aminés;901;CHLORURE DE SODIUM;1,081 g;500 ml;Principe Actif;18
68074594;Compartiment : solution d'acides aminés;2666;MÉTHIONINE;1,96 g;500 ml;Principe Actif;4
68078991;Comprimé;2064;HYDROCHLOROTHIAZIDE;25 mg;un comprimé;Principe Actif;2
68088220;Solution;63521;GADODIAMIDE;28,7 g;100 ml;Principe Actif;1
68097340;Comprimé;3969;PHLOROGLUCINOL HYDRATÉ;80,00 mg;un comprimé;Principe Actif;1
68098780;Poudre;1316;CEFTAZIDIME PENTAHYDRATÉE;;;Principe Actif;1
68106394;Comprimé;86571;CHLORHYDRATE DE TRAMADOL;50 mg;un comprimé;Principe Actif;1
68120159;Solution;901;SODIUM (CHLORURE DE);9 g;1000 ml;Principe Actif;1
68121097;Comprimé;74746;OSÉLTAMIVIR;30 mg;un comprimé;Fraction Thérapeutique;1
68173375;Poudre;4150;SULFATE D'ATROPINE;2 mg;une cartouche;Principe Actif;1
68182495;Gélule;11279;FLUCONAZOLE;100 mg;une gélule;Principe Actif;1
68196349;Granules;43770;LAVANDULA VERA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;un comprimé;Principe Actif;17
68203174;Comprimé;38524;PANTOPRAZOLE;40 mg;un comprimé;Fraction Thérapeutique;1
68204397;Comprimé;65948;DESLORATADINE;5 mg;un comprimé;Principe Actif;1
68206996;Solution;2709;LACTULOSE;66,5 g;100 ml de solution;Principe Actif;1
68024310;Comprimé;15755;CILAZAPRIL MONOHYDRATÉ;1,044 mg;un comprimé;Principe Actif;1
68026076;Poudre;1316;CEFTAZIDIME PENTAHYDRATÉE;;;Principe Actif;1
68046787;Solution;48944;OLIGOSIDE DE NEISSERIA MENINGITIDIS DU GROUPE C CONJUGUÉ À LA PROTÉINE CRM197;5 µg d'oligoside de Neisseria meningitidis du groupe C;0,5 ml de vaccin reconstitué;Principe Actif;2
68057627;Pommade;69920;MERCURIUS PROTO-IODATUS POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH (pommade à 4 %);un comprimé;Principe Actif;24
68066416;Comprimé;71861;GLIMÉPIRIDE;4 mg;un comprimé;Principe Actif;1
68074594;Compartiment : solution d'acides aminés;79537;CHLORHYDRATE DE LYSINE;2,84 g;500 ml;Principe Actif;3
68074594;Compartiment : solution de glucose;14134;PHOSPHATE MONOSODIQUE DIHYDRATÉ;1,170 g;500 ml;Principe Actif;24
68104920;Collyre;901;CHLORURE DE SODIUM;0,9 g;100 ml;Principe Actif;1
68107966;Pâte;651;TERPINE;2 mg;une pâte de 1 g;Principe Actif;1
68111943;Solution buvable en gouttes;2459;MERCURIUS VIVUS POUR PRÉPARATIONS HOMÉOPATHIQUES;3CH à 30CH et 6DH à 60DH;une gélule;Principe Actif;20
68120650;Compartiment b;45730;(S)-LACTATE DE SODIUM;1,12 g de solution de (S)-lactate de sodium;1000 ml de solution mélangée;Principe Actif;6
68131426;Pommade;21200;JUNIPERUS COMMUNIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 1 %, 4 % ou 10 %);1 ml de suspension buvable reconstituée;Principe Actif;25
68135556;Comprimé;9231;AMISULPRIDE;200 mg;un comprimé;Principe Actif;1
68154738;Émulsion;7326;TRIGLYCÉRIDES À CHAÎNE MOYENNE;10 g;100 ml;Principe Actif;6
68156358;Comprimé;3511;PENTOXIFYLLINE;400 mg;un comprimé;Principe Actif;1
68230659;Solution;5324;ALCOOL PROPYLIQUE;30 g;100 g;Principe Actif;4
68232927;Comprimé;4090;CARBIDOPA ANHYDRE;31,25 mg;un comprimé;Fraction Thérapeutique;2
68233897;Pastille;594;FLURBIPROFÈNE;8,75 mg;une pastille;Principe Actif;1
68233961;Comprimé;73594;CANDÉSARTAN CILEXÉTIL;16 mg;un comprimé;Principe Actif;1
68243279;Comprimé;6092;FLUTAMIDE;250 mg;un comprimé;Principe Actif;1
68262646;Comprimé;5;ACIDE ACÉTYLSALICYLIQUE;500 mg;un comprimé;Principe Actif;1
68264469;Solution;8173;ÉPOÉTINE ALFA;16,8 microgrammes;1 ml;Principe Actif;1
68269288;Comprimé;34855;FER;80,00 mg;un comprimé;Fraction Thérapeutique;1
68269313;Gélule;96774;ZINC (ACÉTATE DE) DIHYDRATÉ;167,84 mg;une gélule;Principe Actif;1
68272505;Comprimé;64036;FOSINOPRIL;20 mg;un comprimé;Principe Actif;1
68278771;Comprimé;3009;ATOVAQUONE;62,5 mg;un comprimé;Principe Actif;1
68280975;Solution;421;CALCIFÉDIOL MONOHYDRATÉ;;;Principe Actif;1
68281778;Dispositif;71064;ESTRADIOL HÉMIHYDRATÉ;1,29 mg;un dispositif;Principe Actif;1
68283672;Comprimé;80102;MONTÉLUKAST ACIDE;4 mg;un comprimé;Fraction Thérapeutique;1
68288833;Comprimé;4168;LEVURE;50 mg;un comprimé;Principe Actif;3
68293613;Gel;60394;TARTRATE DE BRIMONIDINE;5 mg;1 g de gel;Principe Actif;1
68297693;Comprimé;82384;CÉFUROXIME;500 mg;un comprimé;Fraction Thérapeutique;1
68312871;Sirop;42599;THÉOPHYLLINE (ACÉTATE DE SODIUM);1,64 g;100 ml de sirop;Principe Actif;1
65913639;Gélule;36065;DUTASTÉRIDE;0,5 mg;une gélule;Principe Actif;1
65913639;Gélule;66494;CHLORHYDRATE DE TAMSULOSINE;0,4 mg;une gélule;Principe Actif;2
65916489;Comprimé;80432;PRASUGREL (CHLORHYDRATE DE);10,98 mg;un comprimé;Principe Actif;1
65928573;Collyre;49729;CARBOMÈRE 980;0,13 g;100 g;Principe Actif;1
65933104;Pommade;23886;BETULA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH (pommade à 4 %);100 g;Principe Actif;24
65933104;Poudre orale;23886;BETULA POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;100 g;Principe Actif;23
65940757;Comprimé;32925;CHLORHYDRATE DE TERBINAFINE;281,25 mg;un comprimé;Principe Actif;1
65940757;Comprimé;72481;TERBINAFINE;250 mg;un comprimé;Fraction Thérapeutique;1
65973020;Capsule;31591;MÉTYRAPONE;250 mg;une capsule;Principe Actif;1
65973903;Comprimé;42537;ONDANSÉTRON;8 mg;un comprimé;Principe Actif;1
65981743;Poudre orale;267;VALERIANA OFFICINALIS POUR PRÉPARATIONS HOMÉOPATHIQUES;2CH à 30CH et 4DH à 60DH;une capsule;Principe Actif;23
65983694;Comprimé;15734;VALSARTAN;80 mg;un comprimé;Principe Actif;1
